,web_title,web_link,web_summary,published_date,pdf_url,web_special,web_expire_date,web_applicant_contents,web_applicant,web_contractor,web_location,web_character,web_mitigation,pdf_permit_app_num,pdf_dist_code,pdf_dist_name,pdf_manager_name,pdf_manager_phone,pdf_manager_email,pdf_location,pdf_character,pdf_county,pdf_parish,pdf_hydrologic_unit_code,pdf_longitude,pdf_latitude,pdf_acreage,pdf_wqc,pdf_cup,error
0,MVN-2015-01960-CM,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3509791/mvn-2015-01960-cm/,"PERMIT MODIFICATION FOR THE CONSTRUCTED ASCENSION PIPELINE LOCATED IN ASCENSION, ST. JAMES, AND ST. JOHN THE BAPTIST PARISHES<br />","Mon, 04 Sep 2023 04:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2015-01960_PNall_08292023.pdf?ver=xhZHIjNPKC-G_Bh2pF6Dsg%3d%3d,No,9/25/2023,"Ascension Pipeline LLC, c/o SWCA Environmental Consultants, Attn: Paul LeBlanc, III, 1651 Lobdell Ave., Bldg. A, Baton Rouge, Louisiana 70806.",Ascension Pipeline LLC,SWCA Environmental Consultants,"Beginning at the Marathon Refinery in Garyville, Louisiana and proceeding west, crossing under Airline Hwy (US Hwy 61) and the Blind River, then traveling northwest through the Maurepas Wildlife Management area and crossing under four state highways and the I-10 twice then terminating at the EnLink Facility, in Geismar, Louisiana. The project will span Ascension, St. James, and St. John the Baptist Parishes within the Lake Maurepas (08070204) hydrologic unit, as shown on the attached drawings.","A permit for the work described herein was previously authorized to Ascension Pipeline, LLC and was issued on October 25, 2016, and later modified on July 19, 2022. The applicant (permittee) is requesting authorization to incorporate some minor changes that were made during project construction. Initially, the authorized project proposed that approximately 7.169 acres of forested swamp wetlands would be temporarily impacted during project construction but were reduced to 5.873 acres. Moreover, the authorized project also proposed temporary impacts to approximately 5.755 acres of herbaceous wetlands but was increased to 6.284 acres during project construction. Lastly, project construction resulted in 0.39 acre permanent impacts to fresh marsh wetlands. All of these proposed changes are associated with workspace and access for construction and maintenance of the pipeline.MITIGATION: The applicant proposes to avoid additional direct impacts and minimize secondary impacts to the maximum extent practicable. As compensation for unavoidable wetland impacts, the applicant proposes to use a Corps approved mitigation bank within the watershed of impact.",,ERROR: 'Num',ERROR: cannot get permit application number,ERROR: cannot get permit application number,Neil Gauthier,(504) 862-1301,Neil.T.Gauthier@usace.army.mil,"Beginning at the Marathon Refinery in Garyville, Louisiana and proceeding west, crossing under Airline Hwy (US Hwy 61) and t he Blind River, then traveling northwest through the Maurepas Wildlife Management area and crossing under four state highways and the I-10 twice then terminating at the EnLink Facility, in Geismar, Louisiana. The project will span Ascension, S t. James, and St. John the Baptist Parishes within the Lake Maurepas (08070 204) hydrologic unit, as shown on the attached drawings.","A permit for the work descr ibed herein was previously authorized to Ascension Pipeline, LLC and wa s issued on October 25, 2016, and later modified on July 19, 2022. The applicant ( permittee) is requesting authorization to incorporate some minor changes that were made during project construc tion.  Initially, the authorized project proposed that  approximately 7.169 acres of  forested swamp wetlands would be temporarily impacted during projec t construction but were reduced to 5.873 acres.  Moreover, the aut horized project also propos ed temporary impacts to approximately 5.755 acres of herbaceous wetl ands but was increased to 6.284 acres during project construction.  Lastly, projec t construction resulted in 0.39 acre permanent impacts to fresh marsh wetlands.  All of  these proposed changes are associated with workspace and access for construction and maintenance of the pipeline.                  2    MITIGATION  The applicant proposes to avoid additional direct impacts and minimize secondary impacts to the maximum extent practicable.               As compens ation for unavoidable wetland impacts , the applicant proposes to use a Corps approved mitigation bank within the watershed of impact.",,"Geismar, Louisiana. The project will span Ascension, S t. James, and St. John the Baptist",,,,"['7.169', '5.755']",,,3
1,MVN-2014-02629-CM,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3509803/mvn-2014-02629-cm/,MISSISSIPPI RIVER DREDGING WITH THE CONSTRUCTION OF A FLOATING SHIP DOCK IN ST. JAMES PARISH<br />,"Mon, 04 Sep 2023 04:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2014-02629_PNall08292023.pdf?ver=BGZWcHfyNwX69jOF08Qwdw%3d%3d,No,10/3/2023,"The Mosaic Company, c/o Matrix PDM, Attn: Bill Rosselot, 8760 Orion Place, Suite 100, Columbus, Ohio 43240.",The Mosaic Company,M,"In the Mississippi River, LDB, River Mile 160.5, near Convent, Louisiana, in St. James Parish, within the Lower Mississippi River- Baton Rouge Basin in hydrologic unit (HUC 08070100), as shown on the attached drawings. (30.041241, -90.835744).","The applicant has requested Department of the Army authorization to suction dredge and place rip-rap for revetment repair to install a floating ship dock and address slope stability deficiencies in the Mississippi River. This project will include captive barge guide pilings, breasting and mooring dolphin structures, mooring buoys, and anchor piles. Additionally, suction dredging with disposal back into the river, approximately 2,300 feet downstream will take place to address stability deficiencies relative to the flood protection levee. Approximately 3,700-cubic yards of material will be dredged and 300-cubic yards of rip-rap will be placed for revetment repair associated with pilling penetration. Approximately 1.5 acres of Non-Wetland Waters (NWW) river bottoms will be permanently impacted by this project.    A Preliminary analysis has determined that the proposed project would not impact wetlands. MITIGATION: The applicant proposes that no mitigation will be required because there are no wetland impacts associated with the project.",,ERROR: 'Num',ERROR: cannot get permit application number,ERROR: cannot get permit application number,Neil Gauthier,(504) 862-1301,Neil.T.Gauthier@usace.army.mil,"In the Mississippi River, LDB,  River Mile 160.5, near Convent, Louisiana, in St. James Parish, within the Low er Mississippi River- Baton Rouge Basin in hydrologic unit (HUC 08070100), as shown on the attached drawings. (30.041241, -90.835744).","The applicant has requested Department of the Army authorization to suction dredge and place rip-rap for revetment re pair to install a floating ship dock and address slope stability deficiencies in the Mississippi River. This project will include captive barge guide p ilings, breasting and mooring dolphin structures, mooring buoys, and anchor piles.   Additionally, suction dredging with disposal back into the river, approximately 2,300 feet downstream will take place to address stability deficiencies relative to the flood protection levee.   Appr oximately 3,700-cubic yard s of material will be dredged and 300-cubic yards of ri p-rap will be placed for revetment repair associated with pilling penetration.  Approximately 1.5 acres of Non-We tland Waters (NWW) river bottoms will be permanently impact ed by this project.            2            A Preliminary an alysis has determined that the proposed project would not impact wetlands.      MITIGATION  The applicant proposes that no mitigat ion will be required because there are no wetland impacts associated with the project.",,St. James,,,,['1.5'],,,3
2,MVN-2019-01224-WPP,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3512352/mvn-2019-01224-wpp/,PROPOSED SHORELINE PROTECTION IN TERREBONNE PARISH<br />,"Mon, 04 Sep 2023 04:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2019_01224_PNALL_09042023.pdf?ver=HHnhp7eR4jU4dHGlUa8Gng%3d%3d,No,9/25/2023,"Terrebonne Parish Consolidated Government, c/o: T. Baker Smith, LLC, Post Office Box 2266, Houma, Louisiana 70361.",Terrebonne Parish Consolidated Government,"T. Baker Smith, LLC","Along Lake Chien and Lake Tambour, in Terrebonne Parish, Louisiana, (lat. 29.3488, long. -90.44004), as shown within the enclosed drawings. Hydrologic Unit Code 08090302, Terrebonne Watershed.","Construct approximately 3.54 linear miles of oyster bed living shoreline protection in the form of excavated fill placement and gabion mats.  The proposed activity would include excavating and discharging fill material into approximately 274 acres of unvegetated waterbottoms and wetlands, to promote surge protection for localized marsh areas. According to the applicant, approximately 6.6 acres of jurisdictional wetlands are expected to be temporarily impacted by the proposed activity.  If a Department of the Army permit is found to be in the public interest, should it be determined that impacts to jurisdictional wetlands persist following a one year growing season, the applicant has proposed to mitigate unavoidable wetlands impacts at an approved and acceptable mitigation bank or banks within the N.O. District.",,MVN-2019-01224-WPP,MVN,New Orleans District,Johnny J. Duplantis,(504) 862- 2548,2548johnny.j.duplantis@usace.army.mil,"Along Lake Chien and Lake Tambour, in Terre bonne Parish, Louisiana, (lat. 29.3488, long. -90.44004), as  shown within the enclosed drawings. Hydrologic Unit Code 080903 02, Terrebonne Watershed.","Construct approximately 3.54 linear miles of oyster bed living shoreline protection in the form of e xcavated fill placement and gabion mats.  The proposed activity would include excavati ng and discharging fill material into approximately 274 acres of unvegetated waterbo ttoms and wetlands, to promote surge protection for localized marsh areas. Acco rding to the applicant, approximately 6.6 acres of jurisdictional wetlands are expected to be temporarily impacted by the proposed activity.  If a Department of the Army permit is found to be in the public interest, should it be determined that impacts to jurisdictional wetlands persist following a one year growing season, the applicant  has proposed to mitigate unavoidable wetlands impacts at an approved and acceptabl e mitigation bank or banks within the N.O. District. 2",,Terre bonne,080903 02,['90.44004'],['29.3488'],['6.6'],,,0
3,MVN-2007-00574-EG,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3503446/mvn-2007-00574-eg/,BARGE FLEET EXPANSION ON THE MISSISSIPPI RIVER IN ST. JOHN THE BAPTIST PARISH   <br />,"Mon, 28 Aug 2023 04:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2007_00574_PNALL_08282023.pdf?ver=SZOHXZFlakZPGbIBXeWj1Q%3d%3d,No,9/27/2023,"Cooper Consolidated, c/o Gulf South Engineering & Testing, Attention: Chad Poche, 15 Veterans Memorial Blvd., Kenner, Louisiana 70062, or cpoche@gulfsoutheng.com.",Cooper Consolidated,Gulf South Engineering & Testing,"At approximately Latitude: 30.046667, Longitude: -90.474722, on the Mississippi River, mile 133, left-descending bank, at 665 Hwy. 628, in LaPlace, Louisiana, in St. John the Baptist Parish, as shown on the enclosed drawings. Hydrologic Unit Code: 08070100 (Lower Mississippi- Baton Rouge)","Expand an existing barge fleet to add one (1) additional tier, by six (6) barges wide, on the downriver side of the existing 3-by-6 barge fleet.  No wetland impacts are anticipated as a result of the project, therefore compensatory mitigation is not proposed.",,MVN-2007-00574-EG,MVN,New Orleans District,Angelle Greer,(504) 862-2279,angelle.v.greer@usace.army.mil,"At approximately Latitude 30. 046667, Longitude -90.474722, on the Mississippi River, mile 133, left-descending bank, at 665 Hwy. 628, in LaPlace, Louisiana, in St. John the Baptist Parish, as shown on the enclosed drawings.  Hydrologic Unit Code 08070100 ( Lower Mississippi- Baton Rouge)","Expand an existing barge fleet to add one (1) additional tier, by six (6) barges wide, on the downriver si de of the existing 3-by-6 barge fleet.  No wetland impacts are anticipated as a result of the project, therefore compensatory mi tigation is not proposed.",,"LaPlace, Louisiana, in St. John the Baptist",08070100,['90.474722'],[],,,,0
4,MVN-2022-00799-CF,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3493069/mvn-2022-00799-cf/,PROPOSED RV PARK ALONG PORT ALLEN LOCK<br />,"Mon, 21 Aug 2023 04:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2022_00799_PNall_08212023.pdf?ver=4IDKH2DAA_yIeLGAb-TVXQ%3d%3d,No,9/11/2023,"Scott Thomas Development, LLC c/o: Trusted Compliance, LLC, attn.: Mr. Rhett Francois, 104 Innisbrook Drive, Broussard, LA 70518.","Scott Thomas Development, LLC","Trusted Compliance, LLC","Located in Brusly, Louisiana, within West Baton Rouge Parish, (lat. 30.393175, long. -91.317175), as shown within the attached drawings. (Hydrologic Unit Code 08070300, Terrebonne Watershed).]","The applicant has requested Department of the Army authorization to discharge earthen and gravel fill and grade wetlands for the construction of a RV Park along Ralph Banks Road and Choctaw Road in Brusly, Louisiana. The purpose of the project is to provide recreational/residential lots near Port Allen Lock. The proposed project will include 23 RV lots and and the construction of a RV Park Road. The project will utilize existing drainage ditches on site and proposes two new culverts. The project as proposed would permanently impact approximately7.43 acres of forested wetlands. It is not anticipated that secondary impacts will occur to adjacent wetlands with required best management practices to reduce runoff and siltation.MITIGATION: The applicant proposes to avoid direct impacts and minimize secondary impacts (to wetlands) to the maximum extent practicable. For compensation for unavoidable wetland impacts, the applicant proposes to use a Corps approved mitigation bank within the watershed of impact.",,MVN-2022-00799-CF,MVN,New Orleans District,Zach Steinkoenig,(504) 862-1288,zachary.j.steinkoenig@usace.army.mil,"Located in Brusly, Louisiana, within West Baton Rouge Parish, (lat. 30.393175, long. -91.317175), as shown within the attached drawings. (Hydrologic Unit Code 08070300, Terrebonne Watershed).]","The applicant has requested Department of the Army authorization to discharge earthen and gravel fill and grade wetlands for the construction of a RV Park along Ralph Banks Road and Choctaw Road in Brusly, Louisiana. The purpose of the project is to provide recreational/residential lots near Port Allen Lock. The proposed project will include 23 RV lots and and the construction of a RV Park Road. The project will utilize existing drainage ditches on site and proposes two new culverts. The project as proposed would permanently impact approximately 7.43 acres of forested wetlands. It is not anticipated that secondary impacts will occur to adjacent wetlands with required best management practices to reduce runoff and siltation.   MITIGATION The applicant proposes to avoid direct impacts and minimize secondary impacts (to wetlands) to the maximum extent practicable.  For compensation for unavoidable wetland impacts, the applicant proposes to use a Corps approved mitigation bank within the watershed of impact.  -2-",,"Brusly, Louisiana, within West Baton Rouge",08070300,['91.317175'],['30.393175'],['7.43'],,,0
5,MVN-2023-00140-ECS,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3494034/mvn-2023-00140-ecs/,CRAWFORD DRAINAGE CANAL IMPROVEMENTS IN ST.CHARLES PARISH<br />,"Mon, 21 Aug 2023 04:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2023_00140_PNALL_08212023.pdf?ver=jjzoBFVMJW9F5j6UYQNmDg%3d%3d,No,9/11/2023,"St. Charles Parish Government, c/o: Civix, Ms. Jane Dufour, 3300West Esplanade Ave, Suite 400, Metairie, Louisiana 70002.",St. Charles Parish Government,"Civix, Ms. Jane Dufour","Located in Section 20, Township 15 South, Range 20 East, in St.Charles Parish, Louisiana, (lat. 29.78860, long. -90.42970), as shown within the attacheddrawings. (Hydrologic Unit Code 080903010302, Des Allemands-Crawford CanalWatershed).",The proposed project is to widen the existing Crawford DrainageCanal and make improvements to the Sunset Pump Station. The purpose of the project isto increase the Sunset Pump Stations ability to drain the stormwater runoff that is occurring within the Sunset Drainage District Levee polder and to increase the efficiency of the pump station. The proposed improvements to the Sunset Pump Station are to install trash screens and cleaners upstream to the existing pump station. The project as proposed would permanently impact approximately 2.38,,MVN -2023-00140-ECS,MVN,New Orleans District,Carrie Schott,(504) 862-1153,Carrie.G.Schott@usace.army.mil,"Locat ed in Section 20, Township 15 South, Range 20 East , in St. Charles  Parish, Louisiana, (lat. 29.78860, long. -90.42970), as shown within the attached drawings. (Hydrologic Unit Code 08 0903010302 , Des Allemands -Crawford Canal  Watershed).","The  proposed project is to widen the existing Crawford D rainage Canal  and make improvements to the Sunset Pump Station.  The purpose of the project is to increase the Sunset Pump Stations ability to drain the stormwater runoff that is occurring within the Sunset Drainage District Levee polder  and to increase the efficiency of the pump station.  The proposed improvements to the Sunset Pump Station are to install trash screens and cleaners upstream  to the existing pump station.  The project as proposed would permanently impact approximately 2. 38 acres of waterbottoms and 0.0042 acre of wet lands from excavation and fill activities.   MITIGATION  Should mitigation be required, the applicant will purchase credits from a mitigation bank located within the watershed of imp act.",,"Section 20, Township 15 South, Range 20 East , in St. Charles",08 0903010302,['90.42970'],['29.78860'],[],,,0
6,MVN-2022-00476-ECS,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3494152/mvn-2022-00476-ecs/,MULTI-FAMILY RESIDENTIAL DEVELOPMENT IN ST.TAMMANY PARISH<br />,"Mon, 21 Aug 2023 04:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2022_00476_PNALL_08212023.pdf?ver=jtBFNHNkV5btW4NxUwc-Eg%3d%3d,No,9/11/2023,"STOA Group, c/o: Hydrik Wetlands Consultants, Mr. Michael Henry, 2323 Highway 190 East, Suite 2, Hammond, Louisiana 70401.",STOA Group,"Hydrik Wetlands Consultants, Mr. Michael Henry","Located northerly of McKinney Road, Slidell, in St. Tammany Parish, Louisiana, (lat. 30.275742, long. -89.757675), as shown within the attached drawings. (Hydrologic Unit Code 080902010307, Salt Bayou Watershed).","The proposed project includes the clearing, grading, excavating, and depositing fill for the construction of a 11.43-acres multi-family apartment complex.  The project purpose is to provide luxury apartment living in a high demand area. The project as proposed would directly impact 8.18 acres (permanently) of jurisdictional wetlands.",,MVN -2022 -00476 -ECS,MVN,New Orleans District,Carrie Schott,(504) 862-1153,Carrie.G.Schott@usace.army.mil,"Located northerly of  McKinney Road , Slidell, in St. Tammany Parish, Louisiana, (lat. 30.275742, long.  -89.757675), as shown  within the attached drawings. (Hydrologic Unit Code 08090 2010 307, Salt Bayou W atershed).","The proposed project includes the clearing , grad ing, excavat ing, and deposit ing fill for the construction of a 11.43-acres multi -family apartment complex.  The project purpose is to provide luxury apartment living in a high demand area. The project as proposed would directly impact 8.18  acres (permanently) of jurisdictional wetlands .   MITIGATION  The applicant proposed to contract with an approved mitigation bank in order to offset the adverse impact to jurisdictional wetlands, should a DA permit be issued.",,St. Tammany,08090 2010 307,['89.757675'],['30.275742'],[],,,0
7,MVN-2022-01256-WPP,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3496625/mvn-2022-01256-wpp/,Proposed Residential Subdivision Development in Calcasieu Parish<br />,"Mon, 21 Aug 2023 04:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2022_01256_PNALL_08212023.pdf?ver=efedPG5FHN8zMiUOVQajHg%3d%3d,No,9/11/2023,"Morganfield South, LLC, c/o: Rhett Francois, 104 InnisbrookDrive, Broussard, Louisiana 70518.","Morganfield South, LLC",Rhett Francois,"Located in Calcasieu Parish, near the community of LakeCharles, Louisiana, Latitude 30.16603, Longitude -93.161006, as shown within theenclosed drawings. Hydrologic Unit Code 08080206, Lower Calcasieu Watershed.","Clear, grade, excavate and fill (approximately 8,809 cubicyards of earthen material) on a 31-acre site to construct a residential subdivisiondevelopment, to supply necessary housing needs for the general public. Projectimplementation would permanently impact 3.28 acres of jurisdictional herbaceouswetlands. If a Department of the Army permit is found to be justified, the applicanthas proposed to mitigate any unavoidable wetlands impacts at an approved andacceptable mitigation bank within the N.O. District.",,MVN-2022-01256-WPP,MVN,New Orleans District,Johnny Duplantis,(504) 862- 2548,2548johnny.j.duplantis@usace.army.mil,"Located in Calcasieu Parish, near the community of Lak e Charles, Louisiana, Latitude 30.16603, Longitude -93.161006,  as shown within the enclosed drawings.  Hydrologic Unit Code 08080206, Lower Calcasieu Watershed.","Clear, grade, excavate and fill (approximately 8,809 cubic yards of earthen material) on a 31- acre site to construct a residential subdivision development, to supply necessary housing needs for the general public.  Projec t implementation would permanently impact 3.28 acres  of jurisdictional herbaceous wetlands.  If a Department of the Army permit is found to be justified, the applicant has proposed to mitigate any unavoidable wetlands im pacts at an approved and acceptable mitigation bank within the N.O. District.",,Calcasieu,08080206,['93.161006'],['30.16603'],[],,,0
8,MVN-1999-02360-EPP,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3489269/mvn-1999-02360-epp/,TIME EXTENSION FOR THE ENGLISH TURN DEVELOPMENT IN ORLEANS PARISH<br />,"Mon, 14 Aug 2023 04:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/1999_02360_PNall_08142023.pdf?ver=TRoZZS1PFZFNHT531PoGPA%3d%3d,No,9/4/2023,"English Turn Limited Partnership, Attention: James Butler, 1 Clubhouse Drive, New Orleans, Louisiana 70131 or jbutler2879@gmail.com",English Turn Limited Partnership,,"At approximately Latitude: 29.90826, Longitude: -89.952013, at 1 Clubhouse Drive, New Orleans, Louisiana, in Orleans Parish, as shown on the enclosed drawings.Hydrologic Unit Code: 08090301 (East Central Louisiana Coastal)",Continual operations to install and maintain fill for golf course and residential development.,,MVN -1999- 02360- EPP,MVN,New Orleans District,Stephanie Castaing,(504) 862- 1564,Stephanie.L.Castaing@usace.army.mil,"At approximately Latitude 29.90826, Longitude -89.952013, at 1 Clubhouse Drive, New Orleans,  Louisiana, in Orleans  Parish, as shown on the enclosed drawings.   Hydrologic Unit Code 080 90301  (East Central Louisiana Coastal )","Conti nual operations to install and maintain fill for golf course and residential development .   MITIGATION   Direct j urisdictional wetland impacts were previously  compensated. T he applicant maintains that no additional jurisdictional wetlands would be directly affected by this action ; and therefore, no additional compensatory mitigation is anticipated at this time.",,Orleans,080 90301,['89.952013'],['29.90826'],,,,0
9,MVN-2020-00234-WPP,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3489370/mvn-2020-00234-wpp/,MODIFICATION FOR MAINTENANCE DREDGING OF NAVIGATION CHANNELS FOR EXPANSION OF THE PORT OF IBERIA IN IBERIA PARISH <br />,"Mon, 14 Aug 2023 04:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2020_00234_PNALL_08142023.pdf?ver=_Uu4KftsZ7GPprmrFpDpfQ%3d%3d,No,9/4/2023,"Port of Iberia, c/o: GIS Engineering, LLC, 450 Laurel Street, Suite 1500, Baton Rouge, Louisiana 70801.",Port of Iberia,"GIS Engineering, LLC","Located in Iberia Parish, Section 34, Township 12S and Range 06E, within Port of Iberia, in New Iberia, Louisiana, (POB -- Lat. 29.958239 / Long. -91.8412 W; POE -- Lat. 29.5109862 / Long. -92.3127306), as shown within the attached drawings. (Hydrologic Unit Code 08080103, Vermilion Teche Watershed)","A Department of Army permit was issued on April 26, 2021 for the subject project, and was subsequently modified on January 11, 2022, associated with maintenance dredging of approximately 50 miles of existing navigation channels connecting the Port of Iberia to the Gulf of Mexico (GOM), to include Commercial Canal (segment 1), the GIWW (segment 2), and Freshwater Bayou (segment 3).  The maintenance dredging will deepen existing channels to a depth of approximately negative (-)16 feet.  Dredge materials from the upper segments, the lower segments would be discharged and placed in nearby interior areas, open waters, along the mid to lower banks of the GIWW and Freshwater Bayou, and in a near shore",,MVN-2020-00234-WPP,MVN,New Orleans District,Johnny Duplantis,(504) 862- 2548,2548johnny.j.duplantis@usace.army.mil,"Located in Iberia Parish, Section 34, Towns hip 12S and Range 06E, within Port of Iberia, in New Iberia, Louisiana, (POB -- Lat. 29.958239 / Long. -91.8412 W; POE  -- Lat. 29.5109862 / Long. -92.3127306) , as shown within the attached drawings. (Hydrologic Unit Code 08080103, Vermilion Teche Water shed)","A Department of Army permit was  issued on April 26, 2021 for the subject project, and was subs equently modified on January 11, 2022, associated with maintenance dred ging of approximately 50 miles of existing navigation channels connecting the Port of Iberia to the Gulf of Mexico (GOM), to include Com mercial Canal (segment 1), the GIW W (segment 2), and Freshwater Bayou (segment 3).  The maintenanc e dredging will deepen existing channels to a depth of approximately negative (-)16 f eet.  Dredge materials  from  the upper segments, the lower segments would be discharged and placed in nearby interior areas , open waters, along the mid to lower banks of the GIWW and Fr eshwater B ayou, and in a near shore 2 disposal site near the GOM.   The applicant has submitted a project modi fication request dated May 13, 2023, that includes additional Benefic ial Use Area sites, along with proposed relocations and reductions in marsh creation sites. along the project route from the Port  of Iberia to the GOM.   Approximately 11.5 acres of we tlands are anticipated to be temporarily impacted due to the dredging and disposal ac tivities and are proposed to be restored upon completion of the work.  A total of appr oximately 1,253 acres of marsh creation, and approximately 310 acres of b eneficial use areas is antici pated to occur in interior and open water areas.  Further details and acreage breakdowns can be viewed within the attached drawings.   The applicant has proposed that the project benefits will outweigh the detriments, and therefore has not proposed a compensatory mitigation plan for the project.",,Iberia,08080103,,,['11.5'],,,0
